County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
New Jersey,52005,50149,51419,53696,55583,56045,58655,61110,62701,64924,68236
"Atlantic, NJ",39333,38386,38989,40824,41828,42454,43590,44345,45191,46549,48668
"Bergen, NJ",67237,64229,66064,69053,72152,71679,74452,77666,79145,81483,85951
"Burlington, NJ",47916,47613,48394,50016,51107,51622,53760,56262,57802,59389,62120
"Camden, NJ",41303,41146,41845,43795,44592,45236,46905,48891,50164,51852,54103
"Cape May, NJ",42968,43247,44686,46935,48771,49562,51473,54102,55995,57976,60877
"Cumberland, NJ",31598,32481,33495,34323,34180,34454,35486,36891,37515,38630,40289
"Essex, NJ",52057,50908,51947,54225,55049,55797,58470,60836,62253,64232,67459
"Gloucester, NJ",41655,41620,42299,43791,44940,45900,47392,49665,50747,52455,54745
"Hudson, NJ",45047,42956,45124,46273,48103,49075,52819,56540,58466,62461,65139
"Hunterdon, NJ",71592,68969,70049,71945,75238,75067,78652,81057,83645,84958,89610
"Mercer, NJ",56061,52419,53247,56497,59260,58083,62018,63470,64505,65877,69344
"Middlesex, NJ",47661,45786,47349,50969,53435,52471,53955,54971,56526,58172,61065
"Monmouth, NJ",60418,57018,57526,60622,63107,63888,67386,70610,72873,75762,79978
"Morris, NJ",73601,70140,73983,76727,79765,80805,84260,88219,90853,93555,98842
"Ocean, NJ",40584,39518,39917,41587,42861,43262,44949,47082,48490,49749,52008
"Passaic, NJ",39827,39376,40587,42085,42798,43383,45746,47155,47770,48294,50570
"Salem, NJ",39367,39414,40435,41875,41674,42066,43087,45098,45690,46435,48496
"Somerset, NJ",72462,68606,69235,71450,75171,78462,83433,88350,92248,99533,106194
"Sussex, NJ",47733,46462,47429,49093,50844,51456,53818,55677,56914,58717,61757
"Union, NJ",52755,49733,51030,53127,55151,56129,59230,61270,62526,65036,68262
"Warren, NJ",44223,43477,44269,45807,47098,47609,49188,51010,51850,53405,56058